GeneID	Correlation
Cav1	1.0
Akap5	0.9104277545749551
Pdpn	0.8850086625236615
S100a6	0.8712522283806977
Rtkn2	0.8663789459115242
Sdpr	0.845115439945823
Clic5	0.8418198088904979
Hopx	0.8386844500166838
Ahnak	0.8316747796884224
Tspan8	0.7980914678628405
Emp2	0.7962077654363473
Agrn	0.7868017049212078
Gprc5a	0.7833180314866972
Dpysl2	0.7810793649018667
Col4a3	0.7744853945674288
Pmp22	0.765045742708611
Myh9	0.757283916884648
Limch1	0.7480394608194162
Lgals3	0.7390713512197823
Clic3	0.7374569996253589
Lmo7	0.7325662559383965
Qk	0.7285153055958091
Ager	0.7264399594750629
Msln	0.7246394919986305
Atxn1	0.7089768951692242
Dag1	0.7087926361820787
Fbln5	0.7081768583236684
Tmem213	0.7064479218599403
Tmem37	0.7044211514915574
Arhgef26	0.7014353046721065
Cldn18	0.7012416256264161
Rgcc	0.6996521605309038
Krt7	0.6986255796725773
2200002D01Rik	0.693558214710156
Vegfa	0.6934430693729688
Itgb6	0.6905047410972365
Pxdn	0.6879412519943537
Cux1	0.6855678988582445
Sparc	0.6841002958664915
Cnn2	0.680910357792456
Col4a4	0.6798024358911912
Ptrf	0.6788973325475717
Ndnf	0.6780596161939977
Lamc2	0.6767294840796421
Msn	0.6765727842272521
Wdr45	0.673418506728807
Cryab	0.673213840383394
Rhoa	0.665921562011407
Timp3	0.6641765199626062
Fstl1	0.6604643959740867
Igfbp6	0.6582898990415558
Cav2	0.656890509418844
Tinagl1	0.6566043855297811
Myo1c	0.6559915337791835
Krt19	0.648128378494204
Tjp1	0.6451628318039274
Id3	0.6434475548922208
Npnt	0.6431911676039602
Ppp3ca	0.6405595240613424
Gm10076	0.6268705367822202
Psat1	0.6257173108632078
Gja1	0.6212021161332658
Cd9	0.6123165661160769
Hs2st1	0.6110385246041296
Edn3	0.6100017326597565
Sema3a	0.6090047532451768
Col4a1	0.6010945149003889
Gsn	0.5973185039031318
Anxa1	0.5881224217454731
Tns1	0.5872854614203454
Lama5	0.578303698539865
Plp2	0.574897115061206
Col4a2	0.5680683455668245
Rpl36	0.5645783915546192
Fam174b	0.5611993358421784
Pde7a	0.5570125966080013
Krt8	0.5512296586201131
Ano1	0.5471239899749694
Tmod3	0.5279564840657008
Crip2	0.5274339772766117
Ehd2	0.5270014508861822
Anxa3	0.5115889728476236
Samhd1	0.5041819508180887
Sec14l3	0.5008495823973416
H2-Eb1	-0.5023375626959735
Pi4k2b	-0.5032628338191196
Pon3	-0.5033997421336911
Sftpc	-0.5079091165238904
Ank3	-0.5163515899725761
Cd200	-0.5190319875595002
Il33	-0.5305177031526135
Acot7	-0.5417836350772005
H2-Ab1	-0.5435566038965214
Acsl4	-0.5466513716941545
Cd74	-0.5525352452116622
Cat	-0.5600527142506703
Nupr1	-0.5649892598752334
Egfl6	-0.569446312251036
Elovl1	-0.5750975148898517
Lcn2	-0.5797399410647166
Rnase4	-0.5831265045233318
S100g	-0.5863250412041185
Baiap2l1	-0.59775051967719
H2-Aa	-0.6031788672791288
Ly6e	-0.6211372226368744
Sftpb	-0.6218402144969789
Scd1	-0.6241258943333114
Cd36	-0.632236459675649
Lamp3	-0.6486768470084887
Sftpa1	-0.6513514471783725
Sftpd	-0.6544510254949969
Hc	-0.662589977578096
Slc34a2	-0.6685546939475965
Cxcl15	-0.6764932134617462
Cbr2	-0.6782056548145626
Lyz2	-0.6906555983395619
Chil1	-0.7246596647830622
